Estado,Provedor da probe,Endereço da probe
Rio Grande do Sul,Farol Telecom (Pelotas),177.72.192.17
Rio Grande do Sul,VETORIALNET INF. E SERVIÇOS DE INTERNET LTDA (Rio Grande),187.86.130.145
Santa Catarina,3D Telecom (São Ludgero),177.126.23.190
Santa Catarina,FLIN Internet (Florianópolis),187.49.226.62
Paraná,Mottanet (Sengés),179.189.16.1
Paraná,NOVA FIBRA TELECOM S.A (Curitiba),200.192.248.61
São Paulo,AR TELECOM (Mococa),187.49.218.17
São Paulo,IAGENTE (São Paulo),168.196.188.1
Rio de Janeiro,G8 (Rio de Janeiro),179.96.53.1
Rio de Janeiro,X99 (Rio de Janeiro),200.218.239.30
Minas Gerais,Click Telecom (Araxá),201.62.48.1
Minas Gerais,IZI Telecom (Mutum),179.107.112.1
Espírito Santo,Connect World Telecom Eireli (Serra),201.71.200.5
Mato Grosso do Sul,FACNET TELECOM (Aparecida do Taboado),179.109.64.99
Mato Grosso do Sul,GTec (Eldorado),131.221.124.17
Mato Grosso,Bottega Telecomunicações (Confresa),45.168.220.41
Mato Grosso,VstNet Fiber (Campo Novo),45.7.13.1
Goiás,Explorernet (Anápolis),177.75.48.129
Goiás,Goiás Conect (Goianira),45.70.41.1
Distrito Federal,DFLASH (Brasília),45.164.243.225
Distrito Federal,G8 (Brasília),179.96.34.65
Bahia,NEXTELECOM (Salvador),170.84.39.225
Bahia,USE TELECOM/TASCOM (Salvador),201.157.194.69
Sergipe,Foxx Provider Telecom (Aracaju),170.81.184.1
Sergipe,G8 (Aracaju),179.96.111.1
Alagoas,Acesso10 (Arapiraca),186.235.128.222
Alagoas,JGNet Provedor de Internet (São Miguel dos Campos),179.127.79.254
Pernambuco,Vescnet Provedores do Brasil (Recife),201.76.105.1
Pernambuco,BBG Telecom (Camaragibe),168.195.180.33
Paraíba,B Host Brasil (Campina Grande),130.185.238.1
Paraíba,Hostzone (Campina Grande),45.179.88.1
Rio Grande do Norte,Net Online - Serviço de Telecomunicações (Caicó),201.158.24.5
Rio Grande do Norte,V2NET - Internet Banda Larga (Caicó),177.8.177.1
Ceará,Almeida Parente (Frecheirinha),132.255.80.201
Ceará,EdgeUno (Fortaleza),200.25.36.66
Piaui,MEGALINK TELECOM (Teresina),168.90.89.225
Piaui,Virtex Telecom (Picos),177.66.116.1
Maranhão,Jupiter Telecomunicações (Imperatriz),186.193.182.121
Maranhão,VavaTec Telecomunicações (São Luiz do Maranhão),200.108.164.28
Tocantins,NETMAIS TELECOM (Palmas),179.124.132.77
Tocantins,ProntoTelecom (Araguaúna),138.255.40.25
Pará,Gigabyte Internet (Canaã dos Carajas),132.255.230.25
Pará,JC Internet (Conceição do Araguaia),177.36.241.33
Amapá,VOCE TELECOM (Macapá),186.216.165.254
Roraima,WebFiber Telecom (Boa Vista),45.160.184.1
Amazonas,G8 (Manaus),179.96.123.81
Amazonas,Upnetix (Manaus),45.236.220.201
Rondonia,Giganet Provedor de Internet ® (Ouro Preto d'Oeste),191.37.216.1
Rondonia,SpeedTravel Telecom (Cacoal),177.22.96.225
Acre,Sem Fronteiras Ultra-Fibra (Rio Branco),38.9.115.1
