Estado,Provedor da probe,Endereço da probe
Rio Grande do Sul,Farol Telecom,177.72.192.17
,VetorialNet,187.86.130.145
Santa Catarina,3D Telecom,177.126.23.190
,Flin Internet,187.49.226.62
Paraná,Mottanet,179.189.16.1
,NOVA FIBRA,200.192.248.61
São Paulo,AR TELECOM,187.49.218.17
,IAGENTE,168.196.188.1
Rio de Janeiro,G8,179.96.53.1
,X99,200.218.239.30
Minas Gerais,Click Telecom,201.62.48.1
,IZI Telecom,179.107.112.1
Espírito Santo,Connect World,201.71.200.5
,-,-
Mato Grosso do Sul,FACNET,179.109.64.99
,GTec,131.221.124.17
Mato Grosso,Bottega,45.168.220.41
,VstNet,45.7.13.1
Goiás,Explorernet,177.75.48.129
,Goiás Connect,45.70.41.1
Distrito Federal,DFlash,45.164.243.225
,G8,179.96.34.65
Bahia,NEXTELECOM,170.84.39.225
,USE TELECOM,201.157.194.69
Sergipe,Foxx,170.81.184.1
,G8,179.96.111.1
Alagoas,Acesso10,186.235.128.222
,JGNet,179.127.79.254
Pernambuco,Vescnet,201.76.105.1
,BBG Telecom,168.195.180.33
Paraíba,B Host Brasil,130.185.238.1
,Hostzone,45.179.88.1
Rio Grande do Norte,NetOnline,201.158.24.5
,V2NET,177.8.177.1
Ceará,Almeida Parente,132.255.80.201
,EdgeUno,200.25.36.66
Piaui,Megalink,168.90.89.225
,Virtex,177.66.116.1
Maranhão,Jupiter,186.193.182.121
,VavaTec,200.108.164.28
Tocantins,NETMAIS,179.124.132.77
,ProntoTelecom,138.255.40.25
Pará,Gigabyte,132.255.230.25
,JC Internet,177.36.241.33
Amapá,VOCE TELECOM,186.216.165.254
,-,-
Roraima,WebFiber,45.160.184.1
,-,-
Amazonas,G8,179.96.123.81
,Upnetix,45.236.220.201
Rondonia,Giganet,191.37.216.1
,SpeedTravel,177.22.96.225
Acre,Sem Fronteiras,38.9.115.1
,-,-
