'RS', 'Pelotas - RS', '177.72.192.17', 'Sao Ludgero - SC', '177.126.23.190', 584.99, 6, 16, 14
'RS', 'Pelotas - RS', '177.72.192.17', 'Florianopolis - SC', '187.49.226.62', 712.78, 7, 123, 16
'RS', 'Pelotas - RS', '177.72.192.17', 'Ponta Grossa - PR', '179.189.16.1', 1105.04, 11, 344, 11
'RS', 'Pelotas - RS', '177.72.192.17', 'Curitiba - PR', '200.192.248.61', 991.57, 10, 163, 12
'RS', 'Pelotas - RS', '177.72.192.17', 'Mococa - SP', '187.49.218.17', 1619.49, 16, 110, 19
'RS', 'Pelotas - RS', '177.72.192.17', 'Passo da Areia - RS', '168.196.188.1', 261.24, 3, 7, 11
'RS', 'Pelotas - RS', '177.72.192.17', 'Uberlandia - MG', '179.96.53.1', 1948.59, 19, 268, 14
'RS', 'Pelotas - RS', '177.72.192.17', 'Rio de Janeiro - RJ', '200.218.239.30', 1829.84, 18, 343, 11
'RS', 'Pelotas - RS', '177.72.192.17', 'Uberaba - MG', '201.62.48.1', 1840.11, 18, 173, 11
'RS', 'Pelotas - RS', '177.72.192.17', 'Ipanema - MG', '179.107.112.1', 2223.63, 22, 8, 7
'RS', 'Pelotas - RS', '177.72.192.17', 'Serra - ES', '201.71.200.5', 2356.06, 24, 128, 16
'RS', 'Pelotas - RS', '177.72.192.17', 'Aparecida do Taboado - MS', '179.109.64.99', 1842.01, 18, 10, 11
'RS', 'Pelotas - RS', '177.72.192.17', 'Eldorado - MS', '131.221.124.17', 1136.43, 11, 10, 14
'RS', 'Pelotas - RS', '177.72.192.17', 'Vila Rica - MT', '45.168.220.41', 3194.56, 32, 15, 8
'RS', 'Pelotas - RS', '177.72.192.17', 'Campo Novo do Parecis - MT', '45.7.13.1', 2679.91, 27, 224, 9
'RS', 'Pelotas - RS', '177.72.192.17', 'Anapolis - GO', '177.75.48.129', 2311.75, 23, 198, 20
'RS', 'Pelotas - RS', '177.72.192.17', 'Aparecida de Goiania - GO', '45.70.41.1', 2240.7, 22, 24, 18
'RS', 'Pelotas - RS', '177.72.192.17', 'Brasilia - DF', '45.164.243.225', 2364.13, 24, 199, 10
'RS', 'Pelotas - RS', '177.72.192.17', 'Uberlandia - MG', '179.96.34.65', 1948.59, 19, 6, 12
'RS', 'Pelotas - RS', '177.72.192.17', 'Salvador - BA', '170.84.39.225', 3363.51, 34, 13, 5
'RS', 'Pelotas - RS', '177.72.192.17', 'Salvador - BA', '201.157.194.69', 3363.51, 34, 15, 18
'RS', 'Pelotas - RS', '177.72.192.17', 'Aracaju - SE', '170.81.184.1', 3558.14, 36, 31, 12
'RS', 'Pelotas - RS', '177.72.192.17', 'Sao Paulo - SP', '179.96.111.1', 1379.82, 14, 15, 13
'RS', 'Pelotas - RS', '177.72.192.17', 'Arapiraca - AL', '186.235.128.222', 3718.73, 37, 2, 4
'RS', 'Pelotas - RS', '177.72.192.17', 'Craibas - AL', '179.127.79.254', 3751.72, 38, 228, 23
'RS', 'Pelotas - RS', '177.72.192.17', 'Jaboatao dos Guararapes - PE', '201.76.105.1', 4027.82, 40, 959, 5
'RS', 'Pelotas - RS', '177.72.192.17', 'Camaragibe - PE', '168.195.180.33', 4047.11, 40, 20, 7
'RS', 'Pelotas - RS', '177.72.192.17', 'Campina Grande - PB', '130.185.238.1', 4053.18, 41, 14, 5
'RS', 'Pelotas - RS', '177.72.192.17', 'Campina Grande - PB', '45.179.88.1', 4053.18, 41, 7, 5
